,A,w,df,f1,f2,f3,f4,f5,Aq1,Aq2,Aq3,Aq4,Aq5
90,0.15,10.500066137357845,5.1693210893163215,1.66999666,1.1499977000000001,,,,0.06554802276838616,0.01010659889042334,,,
91,0.15,0.7000044091571898,6.183185307179587,1.10999778,0.999998,0.8899982200000001,0.7799984400000001,0.66999866,0.05926720858118101,0.02169429047742085,0.018594702581108135,0.01696660002183147,0.01493441339295614
92,0.15,2.3333480305239656,6.183185307179587,1.10999778,,,,,0.20365631462115283,,,,
93,0.15,3.966691651890741,6.183185307179587,1.25999748,0.62999874,1.12999774,,,0.03163904960200425,0.012361193349653705,0.0035586101631091003,,
94,0.15,5.600035273257517,6.183185307179587,0.8899982200000001,1.7799964400000001,1.13999772,,,0.021978357426315438,0.003718570424167072,0.002214544555625049,,
95,0.15,7.233378894624293,6.183185307179587,1.1499977000000001,,,,,0.1813760736697784,,,,
96,0.15,8.86672251599107,6.183185307179587,1.40999718,1.13999772,,,,0.014613690477853079,0.0016828826908438243,,,
97,0.15,10.500066137357845,6.183185307179587,1.66999666,1.1499977000000001,,,,0.006213603302923707,0.000941764399677394,,,
98,0.2,0.7000044091571898,0.1,1.11999776,0.999998,0.8899982200000001,0.7799984400000001,0.66999866,0.058820015236353496,0.026506180831546856,0.024538875936208848,0.02312288616730176,0.020293217506565625
99,0.2,2.3333480305239656,0.1,1.10999778,,,,,0.27689098821113156,,,,
100,0.2,3.966691651890741,0.1,1.25999748,0.62999874,1.13999772,,,0.043907686394493266,0.016817788298206505,0.004971632799940857,,
101,0.2,5.600035273257517,0.1,0.8899982200000001,1.7799964400000001,,,,0.028851430665874193,0.004968411959343676,,,
102,0.2,7.233378894624293,0.1,1.1499977000000001,,,,,0.2657836356404994,,,,
103,0.2,8.86672251599107,0.1,1.40999718,1.1499977000000001,,,,0.0202252154008012,0.0031387870337841414,,,
104,0.2,10.500066137357845,0.1,1.66999666,1.15999768,,,,0.00846782465085345,0.002192092084307521,,,
105,0.2,0.7000044091571898,1.1138642178632645,1.10999778,0.21999956,0.8899982200000001,0.999998,0.32999934000000003,0.09522673578615203,0.0705305782877233,0.06457452153247968,0.06413854003457888,0.06064932028713153
106,0.2,2.3333480305239656,1.1138642178632645,1.10999778,0.73999852,0.36999926,,,0.6572254400393975,0.25170729959373495,0.11346488600653695,,
107,0.2,3.966691651890741,1.1138642178632645,1.25999748,0.62999874,1.10999778,,,0.34198391066633255,0.17791722013542177,0.04612540200388885,,
108,0.2,5.600035273257517,1.1138642178632645,0.8899982200000001,1.7799964400000001,,,,0.30123361373662233,0.04327805321829013,,,
109,0.2,7.233378894624293,1.1138642178632645,1.1499977000000001,1.0299979400000001,,,,0.8098632354604796,0.09379431877391632,,,
110,0.2,8.86672251599107,1.1138642178632645,1.40999718,1.13999772,,,,0.20715817948268506,0.045903494343036665,,,
